UID,Average View,Average Like,Average Coin,Average Coin,Coin/Like
13354765,3763112.14,285361.72,102653.4,0.027278858,0.075831309
19642758,3102466.48,272368.38,124606.58,0.040163715,0.087790918
147166910,2480636.18,232332.38,75934.78,0.03061101,0.093658386
